"","total","expected","hits","Raw p","Holm p","FDR"
"Mercaptopurine Action Pathway",90,78.2,4,1,1,1
"Methotrexate Action Pathway",30,26.1,1,1,1,1
"Nabumetone Action Pathway",67,58.2,5,1,1,1
"Naproxen Action Pathway",68,59.1,4,1,1,1
"Neomycin Action Pathway",20,17.4,1,1,1,1
"Nepafenac Action Pathway",67,58.2,4,1,1,1
"Nicotine Action Pathway",36,31.3,1,1,1,1
"Nicotine Metabolism Pathway",26,22.6,1,1,1,1
"Oxaprozin Action Pathway",67,58.2,4,1,1,1
"Pamidronate Action Pathway",48,41.7,1,1,1,1
"Phenylbutazone Action Pathway",67,58.2,4,1,1,1
"Piroxicam Action Pathway",68,59.1,4,1,1,1
"Pravastatin Action Pathway",48,41.7,1,1,1,1
"Risedronate Action Pathway",48,41.7,1,1,1,1
"Rofecoxib Action Pathway",66,57.3,4,1,1,1
"Rosuvastatin Action Pathway",48,41.7,1,1,1,1
"Salicylate-sodium Action Pathway",67,58.2,4,1,1,1
"Salicylic Acid Action Pathway",67,58.2,4,1,1,1
"Salsalate Action Pathway",67,58.2,4,1,1,1
"Simvastatin Action Pathway",48,41.7,1,1,1,1
"Sulindac Action Pathway",67,58.2,4,1,1,1
"Suprofen Action Pathway",67,58.2,4,1,1,1
"Tenoxicam Action Pathway",67,58.2,4,1,1,1
"Thioguanine Action Pathway",91,79,4,1,1,1
"Tiaprofenic Acid Action Pathway",67,58.2,4,1,1,1
"Tolmetin Action Pathway",67,58.2,5,1,1,1
"Trisalicylate-choline Action Pathway",67,58.2,4,1,1,1
"Valdecoxib Action Pathway",67,58.2,4,1,1,1
"Valproic Acid Metabolism Pathway",37,32.1,3,1,1,1
"Zoledronate Action Pathway",48,41.7,1,1,1,1
